Account,date,sentiment_bucket,trades,daily_pnl_usd,avg_trade_size_usd,total_notional_usd,realized_trades,wins,losses,buy_notional_usd,sell_notional_usd,avg_leverage_proxy,p90_leverage_proxy,total_fees_usd,win_rate,long_short_ratio,net_long_bias,cum_pnl_usd,running_peak_usd,drawdown_usd
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-22,Greed,37,209.39217099999996,7671.794864864864,283856.41,15,9,6,156410.83,127445.57999999999,5.6293312362217085,9.526013741086341,63.358518000000004,0.6,1.2272754378770923,0.1020419091469518,-3.9966119999999705,3768.5897370000002,-3772.586349
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-23,Neutral,45,-369.2447299999998,9211.531777777778,414518.93000000005,20,11,9,241287.67000000004,173231.26,5.72185808302016,13.190163446317609,85.72457,0.55,1.3928644864673965,0.16418166958020436,-373.24134199999975,3768.5897370000002,-4141.831079
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-24,Neutral,68,-2808.353815,14192.42044117647,965084.59,40,10,30,448494.4700000001,516590.12,8.455737013146837,50.0,227.771095,0.25,0.8681824383323477,-0.0705592553291104,-3181.5951569999997,3768.5897370000002,-6950.184894
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-25,Neutral,6,-3093.6293849999997,11094.355000000001,66566.13,6,0,6,0.0,66566.12999999999,0.5743905390597837,0.9158521387252538,16.641532,0.0,0.0,-0.9999999999999849,-6275.224542,3768.5897370000002,-10043.814279
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-26,Neutral,3,0.0,839.1366666666667,2517.41,0,0,0,2517.41,-0.0,1.3044239115254885,1.4715492026687678,0.629351,,,0.9999999999996028,-6275.224542,3768.5897370000002,-10043.814279
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-29,Greed,72,484.847102,5724.157222222222,412139.32,44,44,0,205938.0,206201.32,8.117877646961613,50.0,103.034807,1.0,0.9987229955656928,-0.0006389101627090721,-5790.377439999999,3768.5897370000002,-9558.967176999999
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-30,Greed,49,-173.65419100000003,8183.905714285715,401011.38,19,5,14,200592.61000000004,200418.77000000002,5.515727128898384,7.214030156898736,100.25281,0.2631578947368421,1.000867383828371,0.0004335039070462917,-5964.031631,3768.5897370000002,-9732.621368
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-31,Greed,859,-799.840817,7340.683504074505,6305647.13,436,231,205,3176802.63,3128844.5,3.6904551748899745,1.8467161319449594,1549.411475,0.5298165137614679,1.0153277447952431,0.007605584171025422,-6763.872447999999,3768.5897370000002,-10532.462185
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-01,Greed,6,0.0,334.69666666666666,2008.18,0,0,0,2008.18,-0.0,17.476067355115504,50.0,0.5020439999999999,,,0.9999999999995021,-6763.872447999999,3768.5897370000002,-10532.462185
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-02,Greed,42,456.423473,11292.343571428572,474278.43,21,13,8,235899.96,238378.47,8.086374369237085,48.67404434130208,91.569636,0.6190476190476191,0.989602626445249,-0.005225854357323406,-6307.448974999999,3768.5897370000002,-10076.038712
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-03,Greed,56,223.30918699999998,10782.5,603820.0,12,6,6,300826.92000000004,302993.07999999996,8.04575602713766,50.0,109.662349,0.5,0.99285079382011,-0.0035874267165710186,-6084.1397879999995,3768.5897370000002,-9852.729524999999
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-04,Greed,35,47.62389499999999,5805.358,203187.53,28,9,19,103415.98,99771.55,0.8452029464184452,1.0613492767613995,50.52688,0.32142857142857145,1.0365277476394823,0.017936287723956168,-6036.515893,3768.5897370000002,-9805.10563
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-05,Greed,72,-33.45419400000003,10697.198055555556,770198.26,32,14,18,385115.98000000004,385082.28,9.810617076710507,50.0,165.549465,0.4375,1.0000875137645908,4.375496771443186e-05,-6069.970087,3768.5897370000002,-9838.559824
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-06,Greed,1088,-215.615907,7396.280707720588,8047153.41,523,179,344,4028968.6799999997,4018184.73,3.0244484754314875,1.719856071857898,988.606997,0.3422562141491396,1.002683786516704,0.0013400949939140925,-6285.585993999999,3768.5897370000002,-10054.175731
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-07,Greed,15,241.24212,450.582,6758.73,2,2,0,2258.76,4499.969999999999,8.554548974994457,35.82984295845997,0.339693,1.0,0.5019500130000868,-0.33160223888210766,-6044.343873999999,3768.5897370000002,-9812.933611
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-08,Greed,10,770.756024,2605.112,26051.12,4,4,0,2867.9500000000003,23183.17,15.896413917720295,50.0,3.0028870000000003,1.0,0.1237082763056131,-0.7798213666053213,-5273.58785,3768.5897370000002,-9042.177587
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-11,Greed,34,983.443176,6244.465294117647,212311.82,7,7,0,110772.35999999999,101539.46,5.6579774354305,9.203677027990029,24.955292,1.0,1.090929181620623,0.04348745161715413,-4290.144673999999,3768.5897370000002,-8058.734410999999
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-12,Greed,16,913.8817869999998,14202.981249999999,227247.69999999998,15,6,9,113026.08,114221.62,3.661470202559382,0.9958284203444593,27.111911,0.4,0.9895331549316145,-0.0052609553364015935,-3376.262887,3768.5897370000002,-7144.852624
